"","lon","lat","easting","northing","Kfs","sample","description","class_val","cover_type","class_500","cover_500"
"25",-156.93860236806,21.0972445671025,714134,2334297,6,748,"Ksat Goatpen; cracked brown volcanic soil, possible old A; sample for kim",2,"grass",3,"shrubs_trees"
"26",-156.967120894244,21.0828317521926,711191,2332663,33,774,"Ksat unburned (wp 775 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"27",-156.967350083446,21.0829609369946,711167,2332677,14,775,"Ksat burned (wp 774 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"28",-156.964592964041,21.0854476121951,711450,2332956,22,776,"Ksat unburned (wp 777 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"29",-156.964708420311,21.0854489975955,711438,2332956,5,777,"Ksat burned (wp 776 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"30",-156.963547847884,21.0865820429051,711557,2333083,22,781,"Ksat burned (wp 782 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"31",-156.963518121996,21.0866449050919,711560,2333090,30,782,"Ksat unburned (wp 781 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"32",-156.958718739335,21.0920962912992,712051,2333700,62,784,"Ksat unburned (wp 785 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"33",-156.959018491075,21.0926959633808,712019,2333766,14,785,"Ksat burned (wp 784 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"34",-156.954514781796,21.0955046046963,712483,2334083,64,786,"Ksat unburned (wp 787 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"35",-156.954705612834,21.0956243130335,712463,2334096,31,787,"Ksat burned (wp 786 partner); sample for kim",3,"shrubs_trees",3,"shrubs_trees"
"36",-156.949797461512,21.1005412441267,712966,2334647,33,788,"Ksat unburned (wp 789, 790 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"37",-156.950159635,21.100798498294,712928,2334675,8,789,"Ksat burned; on trail, 2 sites 1 dm apart (wp 788 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"38",-156.950123749738,21.100608408551,712932,2334654,5,790,"Ksat burned (see wp 788 partner); sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
"39",-156.946276865691,21.1053122649449,713325,2335180,9,792,"Ksat burned (see wp793 partner); sample for Kim",3,"shrubs_trees",4,"forests"
"40",-156.945970560441,21.1051911474646,713357,2335167,6,793,"Ksat unburned (under deep grass;wp792 partner);sample for Kim",3,"shrubs_trees",4,"forests"
"41",-156.953886187075,21.1083665429131,712530,2335508,28,794,"Ksat unburned (wp743 is partner);sample for Kim",3,"shrubs_trees",3,"shrubs_trees"
